,cid,label,left,right,top,bottom,width,height,score
0,2,car,668,816,484,569,148,85,0.84848726
0,2,car,668,817,486,569,149,83,0.9052747
1,2,car,668,816,484,569,148,85,0.84848726
0,2,car,707,851,487,571,144,84,0.6946819
1,2,car,668,817,486,569,149,83,0.9052747
2,2,car,668,816,484,569,148,85,0.84848726
0,2,car,706,852,486,570,146,84,0.8705714
1,2,car,707,851,487,571,144,84,0.6946819
2,2,car,668,817,486,569,149,83,0.9052747
3,2,car,668,816,484,569,148,85,0.84848726
0,2,car,705,853,487,570,148,83,0.82956177
1,2,car,706,852,486,570,146,84,0.8705714
2,2,car,707,851,487,571,144,84,0.6946819
3,2,car,668,817,486,569,149,83,0.9052747
4,2,car,668,816,484,569,148,85,0.84848726
0,2,car,708,852,486,568,144,82,0.86507416
1,2,car,705,853,487,570,148,83,0.82956177
2,2,car,706,852,486,570,146,84,0.8705714
3,2,car,707,851,487,571,144,84,0.6946819
4,2,car,668,817,486,569,149,83,0.9052747
5,2,car,668,816,484,569,148,85,0.84848726
0,2,car,705,853,487,571,148,84,0.7442919
1,2,car,708,852,486,568,144,82,0.86507416
2,2,car,705,853,487,570,148,83,0.82956177
3,2,car,706,852,486,570,146,84,0.8705714
4,2,car,707,851,487,571,144,84,0.6946819
5,2,car,668,817,486,569,149,83,0.9052747
6,2,car,668,816,484,569,148,85,0.84848726
0,2,car,706,854,487,570,148,83,0.8951194
1,2,car,705,853,487,571,148,84,0.7442919
2,2,car,708,852,486,568,144,82,0.86507416
3,2,car,705,853,487,570,148,83,0.82956177
4,2,car,706,852,486,570,146,84,0.8705714
5,2,car,707,851,487,571,144,84,0.6946819
6,2,car,668,817,486,569,149,83,0.9052747
7,2,car,668,816,484,569,148,85,0.84848726
0,2,car,705,854,487,570,149,83,0.83539593
1,2,car,706,854,487,570,148,83,0.8951194
2,2,car,705,853,487,571,148,84,0.7442919
3,2,car,708,852,486,568,144,82,0.86507416
4,2,car,705,853,487,570,148,83,0.82956177
5,2,car,706,852,486,570,146,84,0.8705714
6,2,car,707,851,487,571,144,84,0.6946819
7,2,car,668,817,486,569,149,83,0.9052747
8,2,car,668,816,484,569,148,85,0.84848726
0,2,car,707,852,488,569,145,81,0.9115855
1,2,car,705,854,487,570,149,83,0.83539593
2,2,car,706,854,487,570,148,83,0.8951194
3,2,car,705,853,487,571,148,84,0.7442919
4,2,car,708,852,486,568,144,82,0.86507416
5,2,car,705,853,487,570,148,83,0.82956177
6,2,car,706,852,486,570,146,84,0.8705714
7,2,car,707,851,487,571,144,84,0.6946819
8,2,car,668,817,486,569,149,83,0.9052747
9,2,car,668,816,484,569,148,85,0.84848726
0,2,car,706,852,488,569,146,81,0.91560614
1,2,car,707,852,488,569,145,81,0.9115855
2,2,car,705,854,487,570,149,83,0.83539593
3,2,car,706,854,487,570,148,83,0.8951194
4,2,car,705,853,487,571,148,84,0.7442919
5,2,car,708,852,486,568,144,82,0.86507416
6,2,car,705,853,487,570,148,83,0.82956177
7,2,car,706,852,486,570,146,84,0.8705714
8,2,car,707,851,487,571,144,84,0.6946819
9,2,car,668,817,486,569,149,83,0.9052747
10,2,car,668,816,484,569,148,85,0.84848726
0,2,car,707,853,487,569,146,82,0.8178035
1,2,car,706,852,488,569,146,81,0.91560614
2,2,car,707,852,488,569,145,81,0.9115855
3,2,car,705,854,487,570,149,83,0.83539593
4,2,car,706,854,487,570,148,83,0.8951194
5,2,car,705,853,487,571,148,84,0.7442919
6,2,car,708,852,486,568,144,82,0.86507416
7,2,car,705,853,487,570,148,83,0.82956177
8,2,car,706,852,486,570,146,84,0.8705714
9,2,car,707,851,487,571,144,84,0.6946819
10,2,car,668,817,486,569,149,83,0.9052747
11,2,car,668,816,484,569,148,85,0.84848726
0,2,car,709,852,488,569,143,81,0.8771731
1,2,car,707,853,487,569,146,82,0.8178035
2,2,car,706,852,488,569,146,81,0.91560614
3,2,car,707,852,488,569,145,81,0.9115855
4,2,car,705,854,487,570,149,83,0.83539593
5,2,car,706,854,487,570,148,83,0.8951194
6,2,car,705,853,487,571,148,84,0.7442919
7,2,car,708,852,486,568,144,82,0.86507416
8,2,car,705,853,487,570,148,83,0.82956177
9,2,car,706,852,486,570,146,84,0.8705714
10,2,car,707,851,487,571,144,84,0.6946819
11,2,car,668,817,486,569,149,83,0.9052747
12,2,car,668,816,484,569,148,85,0.84848726
0,2,car,707,854,487,570,147,83,0.7478742
1,2,car,709,852,488,569,143,81,0.8771731
2,2,car,707,853,487,569,146,82,0.8178035
3,2,car,706,852,488,569,146,81,0.91560614
4,2,car,707,852,488,569,145,81,0.9115855
