,cid,label,left,right,top,bottom,width,height,score
0,2,car,4294967286,966,380,574,-4294966320,194,0.26321974
0,2,car,4294967270,1099,386,564,-4294966171,178,0.24828371
1,2,car,4294967286,966,380,574,-4294966320,194,0.26321974
0,2,car,14,1056,383,578,1042,195,0.2695259
1,2,car,4294967270,1099,386,564,-4294966171,178,0.24828371
2,2,car,4294967286,966,380,574,-4294966320,194,0.26321974
0,2,car,14,1056,383,578,1042,195,0.2695259
1,2,car,4294967270,1099,386,564,-4294966171,178,0.24828371
2,2,car,4294967286,966,380,574,-4294966320,194,0.26321974
0,2,car,13,1082,373,578,1069,205,0.5401667
1,2,car,14,1056,383,578,1042,195,0.2695259
2,2,car,4294967270,1099,386,564,-4294966171,178,0.24828371
3,2,car,4294967286,966,380,574,-4294966320,194,0.26321974
0,2,car,13,1082,373,578,1069,205,0.5401667
1,2,car,14,1056,383,578,1042,195,0.2695259
2,2,car,4294967270,1099,386,564,-4294966171,178,0.24828371
3,2,car,4294967286,966,380,574,-4294966320,194,0.26321974
0,2,car,4294967273,1061,378,575,-4294966212,197,0.31963575
1,2,car,13,1082,373,578,1069,205,0.5401667
2,2,car,14,1056,383,578,1042,195,0.2695259
3,2,car,4294967270,1099,386,564,-4294966171,178,0.24828371
4,2,car,4294967286,966,380,574,-4294966320,194,0.26321974
0,2,car,4294967273,1061,378,575,-4294966212,197,0.31963575
1,2,car,13,1082,373,578,1069,205,0.5401667
2,2,car,14,1056,383,578,1042,195,0.2695259
3,2,car,4294967270,1099,386,564,-4294966171,178,0.24828371
4,2,car,4294967286,966,380,574,-4294966320,194,0.26321974
0,2,car,4294967273,1061,378,575,-4294966212,197,0.31963575
1,2,car,13,1082,373,578,1069,205,0.5401667
2,2,car,14,1056,383,578,1042,195,0.2695259
3,2,car,4294967270,1099,386,564,-4294966171,178,0.24828371
4,2,car,4294967286,966,380,574,-4294966320,194,0.26321974
0,2,car,4294967275,1087,380,566,-4294966188,186,0.22077179
1,2,car,4294967273,1061,378,575,-4294966212,197,0.31963575
2,2,car,13,1082,373,578,1069,205,0.5401667
3,2,car,14,1056,383,578,1042,195,0.2695259
4,2,car,4294967270,1099,386,564,-4294966171,178,0.24828371
5,2,car,4294967286,966,380,574,-4294966320,194,0.26321974
0,2,car,4294967275,1087,380,566,-4294966188,186,0.22077179
1,2,car,4294967273,1061,378,575,-4294966212,197,0.31963575
2,2,car,13,1082,373,578,1069,205,0.5401667
3,2,car,14,1056,383,578,1042,195,0.2695259
4,2,car,4294967270,1099,386,564,-4294966171,178,0.24828371
5,2,car,4294967286,966,380,574,-4294966320,194,0.26321974
0,2,car,4294967275,1087,380,566,-4294966188,186,0.22077179
1,2,car,4294967273,1061,378,575,-4294966212,197,0.31963575
2,2,car,13,1082,373,578,1069,205,0.5401667
3,2,car,14,1056,383,578,1042,195,0.2695259
