,cid,label,left,right,top,bottom,width,height,score,Angle,Distance
0,2,car,324,678,439,699,354,260,0.98167205,0,3
0,2,car,327,678,437,699,351,262,0.98608404,0,3
1,2,car,324,678,439,699,354,260,0.98167205,0,3
0,2,car,323,677,438,699,354,261,0.9817452,0,3
1,2,car,327,678,437,699,351,262,0.98608404,0,3
2,2,car,324,678,439,699,354,260,0.98167205,0,3
0,2,car,327,677,438,699,350,261,0.98507047,0,3
1,2,car,323,677,438,699,354,261,0.9817452,0,3
2,2,car,327,678,437,699,351,262,0.98608404,0,3
3,2,car,324,678,439,699,354,260,0.98167205,0,3
0,2,car,323,676,438,698,353,260,0.9822985,0,3
1,2,car,327,677,438,699,350,261,0.98507047,0,3
2,2,car,323,677,438,699,354,261,0.9817452,0,3
3,2,car,327,678,437,699,351,262,0.98608404,0,3
4,2,car,324,678,439,699,354,260,0.98167205,0,3
0,2,car,325,678,437,698,353,261,0.97379786,0,3
1,2,car,323,676,438,698,353,260,0.9822985,0,3
2,2,car,327,677,438,699,350,261,0.98507047,0,3
3,2,car,323,677,438,699,354,261,0.9817452,0,3
4,2,car,327,678,437,699,351,262,0.98608404,0,3
5,2,car,324,678,439,699,354,260,0.98167205,0,3
0,2,car,324,679,438,699,355,261,0.98461366,0,3
1,2,car,325,678,437,698,353,261,0.97379786,0,3
2,2,car,323,676,438,698,353,260,0.9822985,0,3
3,2,car,327,677,438,699,350,261,0.98507047,0,3
4,2,car,323,677,438,699,354,261,0.9817452,0,3
5,2,car,327,678,437,699,351,262,0.98608404,0,3
6,2,car,324,678,439,699,354,260,0.98167205,0,3
0,2,car,325,677,436,698,352,262,0.98694646,0,3
1,2,car,324,679,438,699,355,261,0.98461366,0,3
2,2,car,325,678,437,698,353,261,0.97379786,0,3
3,2,car,323,676,438,698,353,260,0.9822985,0,3
4,2,car,327,677,438,699,350,261,0.98507047,0,3
5,2,car,323,677,438,699,354,261,0.9817452,0,3
6,2,car,327,678,437,699,351,262,0.98608404,0,3
7,2,car,324,678,439,699,354,260,0.98167205,0,3
0,2,car,323,679,439,698,356,259,0.9851005,0,3
1,2,car,325,677,436,698,352,262,0.98694646,0,3
2,2,car,324,679,438,699,355,261,0.98461366,0,3
3,2,car,325,678,437,698,353,261,0.97379786,0,3
4,2,car,323,676,438,698,353,260,0.9822985,0,3
5,2,car,327,677,438,699,350,261,0.98507047,0,3
6,2,car,323,677,438,699,354,261,0.9817452,0,3
7,2,car,327,678,437,699,351,262,0.98608404,0,3
8,2,car,324,678,439,699,354,260,0.98167205,0,3
0,2,car,324,678,439,697,354,258,0.9799003,0,3
1,2,car,323,679,439,698,356,259,0.9851005,0,3
2,2,car,325,677,436,698,352,262,0.98694646,0,3
3,2,car,324,679,438,699,355,261,0.98461366,0,3
4,2,car,325,678,437,698,353,261,0.97379786,0,3
5,2,car,323,676,438,698,353,260,0.9822985,0,3
6,2,car,327,677,438,699,350,261,0.98507047,0,3
7,2,car,323,677,438,699,354,261,0.9817452,0,3
8,2,car,327,678,437,699,351,262,0.98608404,0,3
9,2,car,324,678,439,699,354,260,0.98167205,0,3
0,2,car,324,678,437,698,354,261,0.9831634,0,3
1,2,car,324,678,439,697,354,258,0.9799003,0,3
2,2,car,323,679,439,698,356,259,0.9851005,0,3
3,2,car,325,677,436,698,352,262,0.98694646,0,3
4,2,car,324,679,438,699,355,261,0.98461366,0,3
5,2,car,325,678,437,698,353,261,0.97379786,0,3
6,2,car,323,676,438,698,353,260,0.9822985,0,3
7,2,car,327,677,438,699,350,261,0.98507047,0,3
8,2,car,323,677,438,699,354,261,0.9817452,0,3
9,2,car,327,678,437,699,351,262,0.98608404,0,3
10,2,car,324,678,439,699,354,260,0.98167205,0,3
0,2,car,326,677,438,698,351,260,0.98106635,0,3
1,2,car,324,678,437,698,354,261,0.9831634,0,3
2,2,car,324,678,439,697,354,258,0.9799003,0,3
3,2,car,323,679,439,698,356,259,0.9851005,0,3
4,2,car,325,677,436,698,352,262,0.98694646,0,3
5,2,car,324,679,438,699,355,261,0.98461366,0,3
6,2,car,325,678,437,698,353,261,0.97379786,0,3
7,2,car,323,676,438,698,353,260,0.9822985,0,3
8,2,car,327,677,438,699,350,261,0.98507047,0,3
