,cid,label,left,right,top,bottom,width,height,score
0,2,car,503,589,510,564,86,54,0.9364066
0,2,car,503,590,510,564,87,54,0.9287096
1,2,car,503,589,510,564,86,54,0.9364066
0,2,car,503,590,510,564,87,54,0.90974236
1,2,car,503,590,510,564,87,54,0.9287096
2,2,car,503,589,510,564,86,54,0.9364066
0,2,car,503,588,510,565,85,55,0.9361632
1,2,car,503,590,510,564,87,54,0.90974236
2,2,car,503,590,510,564,87,54,0.9287096
3,2,car,503,589,510,564,86,54,0.9364066
0,2,car,503,588,510,564,85,54,0.92007476
1,2,car,503,588,510,565,85,55,0.9361632
2,2,car,503,590,510,564,87,54,0.90974236
3,2,car,503,590,510,564,87,54,0.9287096
4,2,car,503,589,510,564,86,54,0.9364066
0,2,car,503,588,510,564,85,54,0.9277818
1,2,car,503,588,510,564,85,54,0.92007476
2,2,car,503,588,510,565,85,55,0.9361632
3,2,car,503,590,510,564,87,54,0.90974236
4,2,car,503,590,510,564,87,54,0.9287096
5,2,car,503,589,510,564,86,54,0.9364066
0,2,car,502,588,509,564,86,55,0.93502146
1,2,car,503,588,510,564,85,54,0.9277818
2,2,car,503,588,510,564,85,54,0.92007476
3,2,car,503,588,510,565,85,55,0.9361632
4,2,car,503,590,510,564,87,54,0.90974236
5,2,car,503,590,510,564,87,54,0.9287096
6,2,car,503,589,510,564,86,54,0.9364066
0,2,car,503,589,509,564,86,55,0.91892904
1,2,car,502,588,509,564,86,55,0.93502146
2,2,car,503,588,510,564,85,54,0.9277818
3,2,car,503,588,510,564,85,54,0.92007476
4,2,car,503,588,510,565,85,55,0.9361632
5,2,car,503,590,510,564,87,54,0.90974236
6,2,car,503,590,510,564,87,54,0.9287096
7,2,car,503,589,510,564,86,54,0.9364066
0,2,car,502,588,509,564,86,55,0.906131
1,2,car,503,589,509,564,86,55,0.91892904
2,2,car,502,588,509,564,86,55,0.93502146
3,2,car,503,588,510,564,85,54,0.9277818
4,2,car,503,588,510,564,85,54,0.92007476
5,2,car,503,588,510,565,85,55,0.9361632
6,2,car,503,590,510,564,87,54,0.90974236
7,2,car,503,590,510,564,87,54,0.9287096
8,2,car,503,589,510,564,86,54,0.9364066
0,2,car,503,590,509,563,87,54,0.9316978
1,2,car,502,588,509,564,86,55,0.906131
