,cid,label,left,right,top,bottom,width,height,score
0,2,car,583,730,496,595,147,99,0.92712164
0,2,car,581,729,495,593,148,98,0.89810735
1,2,car,583,730,496,595,147,99,0.92712164
0,2,car,583,730,495,596,147,101,0.948369
1,2,car,581,729,495,593,148,98,0.89810735
2,2,car,583,730,496,595,147,99,0.92712164
0,2,car,592,775,481,619,183,138,0.9681673
1,2,car,583,730,495,596,147,101,0.948369
2,2,car,581,729,495,593,148,98,0.89810735
3,2,car,583,730,496,595,147,99,0.92712164
0,2,car,592,774,482,618,182,136,0.98375833
1,2,car,592,775,481,619,183,138,0.9681673
2,2,car,583,730,495,596,147,101,0.948369
3,2,car,581,729,495,593,148,98,0.89810735
4,2,car,583,730,496,595,147,99,0.92712164
0,2,car,592,775,481,620,183,139,0.97740287
1,2,car,592,774,482,618,182,136,0.98375833
2,2,car,592,775,481,619,183,138,0.9681673
3,2,car,583,730,495,596,147,101,0.948369
4,2,car,581,729,495,593,148,98,0.89810735
5,2,car,583,730,496,595,147,99,0.92712164
0,2,car,592,774,482,620,182,138,0.9824825
1,2,car,592,775,481,620,183,139,0.97740287
2,2,car,592,774,482,618,182,136,0.98375833
3,2,car,592,775,481,619,183,138,0.9681673
4,2,car,583,730,495,596,147,101,0.948369
5,2,car,581,729,495,593,148,98,0.89810735
6,2,car,583,730,496,595,147,99,0.92712164
0,2,car,591,774,482,620,183,138,0.9850706
1,2,car,592,774,482,620,182,138,0.9824825
2,2,car,592,775,481,620,183,139,0.97740287
3,2,car,592,774,482,618,182,136,0.98375833
4,2,car,592,775,481,619,183,138,0.9681673
5,2,car,583,730,495,596,147,101,0.948369
6,2,car,581,729,495,593,148,98,0.89810735
7,2,car,583,730,496,595,147,99,0.92712164
0,2,car,591,773,483,620,182,137,0.98412323
1,2,car,591,774,482,620,183,138,0.9850706
2,2,car,592,774,482,620,182,138,0.9824825
3,2,car,592,775,481,620,183,139,0.97740287
4,2,car,592,774,482,618,182,136,0.98375833
5,2,car,592,775,481,619,183,138,0.9681673
6,2,car,583,730,495,596,147,101,0.948369
7,2,car,581,729,495,593,148,98,0.89810735
8,2,car,583,730,496,595,147,99,0.92712164
0,2,car,589,773,482,619,184,137,0.98208004
1,2,car,591,773,483,620,182,137,0.98412323
2,2,car,591,774,482,620,183,138,0.9850706
3,2,car,592,774,482,620,182,138,0.9824825
4,2,car,592,775,481,620,183,139,0.97740287
5,2,car,592,774,482,618,182,136,0.98375833
6,2,car,592,775,481,619,183,138,0.9681673
7,2,car,583,730,495,596,147,101,0.948369
8,2,car,581,729,495,593,148,98,0.89810735
9,2,car,583,730,496,595,147,99,0.92712164
0,2,car,592,774,483,620,182,137,0.9867506
1,2,car,589,773,482,619,184,137,0.98208004
2,2,car,591,773,483,620,182,137,0.98412323
3,2,car,591,774,482,620,183,138,0.9850706
4,2,car,592,774,482,620,182,138,0.9824825
5,2,car,592,775,481,620,183,139,0.97740287
6,2,car,592,774,482,618,182,136,0.98375833
7,2,car,592,775,481,619,183,138,0.9681673
8,2,car,583,730,495,596,147,101,0.948369
9,2,car,581,729,495,593,148,98,0.89810735
10,2,car,583,730,496,595,147,99,0.92712164
0,2,car,592,775,481,619,183,138,0.98132914
1,2,car,592,774,483,620,182,137,0.9867506
2,2,car,589,773,482,619,184,137,0.98208004
3,2,car,591,773,483,620,182,137,0.98412323
4,2,car,591,774,482,620,183,138,0.9850706
5,2,car,592,774,482,620,182,138,0.9824825
6,2,car,592,775,481,620,183,139,0.97740287
7,2,car,592,774,482,618,182,136,0.98375833
8,2,car,592,775,481,619,183,138,0.9681673
9,2,car,583,730,495,596,147,101,0.948369
10,2,car,581,729,495,593,148,98,0.89810735
