,cid,label,left,right,top,bottom,width,height,score
0,2,car,949,1216,493,590,267,97,0.89358896
0,2,car,948,1219,492,590,271,98,0.92152417
1,2,car,949,1216,493,590,267,97,0.89358896
0,2,car,948,1218,492,591,270,99,0.88811177
1,2,car,948,1219,492,590,271,98,0.92152417
2,2,car,949,1216,493,590,267,97,0.89358896
0,2,car,825,1016,484,583,191,99,0.95586693
1,2,car,948,1218,492,591,270,99,0.88811177
2,2,car,948,1219,492,590,271,98,0.92152417
3,2,car,949,1216,493,590,267,97,0.89358896
0,2,car,824,1016,485,583,192,98,0.9334983
1,2,car,825,1016,484,583,191,99,0.95586693
2,2,car,948,1218,492,591,270,99,0.88811177
3,2,car,948,1219,492,590,271,98,0.92152417
4,2,car,949,1216,493,590,267,97,0.89358896
0,2,car,825,1015,485,583,190,98,0.95079404
1,2,car,824,1016,485,583,192,98,0.9334983
2,2,car,825,1016,484,583,191,99,0.95586693
3,2,car,948,1218,492,591,270,99,0.88811177
4,2,car,948,1219,492,590,271,98,0.92152417
5,2,car,949,1216,493,590,267,97,0.89358896
0,2,car,826,1015,485,583,189,98,0.9468186
1,2,car,825,1015,485,583,190,98,0.95079404
2,2,car,824,1016,485,583,192,98,0.9334983
3,2,car,825,1016,484,583,191,99,0.95586693
4,2,car,948,1218,492,591,270,99,0.88811177
5,2,car,948,1219,492,590,271,98,0.92152417
6,2,car,949,1216,493,590,267,97,0.89358896
0,2,car,837,1009,484,584,172,100,0.9276806
1,2,car,826,1015,485,583,189,98,0.9468186
2,2,car,825,1015,485,583,190,98,0.95079404
3,2,car,824,1016,485,583,192,98,0.9334983
4,2,car,825,1016,484,583,191,99,0.95586693
5,2,car,948,1218,492,591,270,99,0.88811177
6,2,car,948,1219,492,590,271,98,0.92152417
7,2,car,949,1216,493,590,267,97,0.89358896
0,2,car,836,1008,483,583,172,100,0.93972975
1,2,car,837,1009,484,584,172,100,0.9276806
2,2,car,826,1015,485,583,189,98,0.9468186
3,2,car,825,1015,485,583,190,98,0.95079404
4,2,car,824,1016,485,583,192,98,0.9334983
