,cid,label,left,right,top,bottom,width,height,score
0,2,car,789,1117,486,627,328,141,0.89451134
1,2,car,789,1117,486,627,328,141,0.89451134
2,2,car,789,1117,486,627,328,141,0.89451134
3,2,car,789,1117,486,627,328,141,0.89451134
4,2,car,789,1117,486,627,328,141,0.89451134
5,2,car,789,1117,486,627,328,141,0.89451134
6,2,car,789,1117,486,627,328,141,0.89451134
7,2,car,789,1117,486,627,328,141,0.89451134
8,2,car,789,1117,486,627,328,141,0.89451134
9,2,car,789,1117,486,627,328,141,0.89451134
10,2,car,789,1117,486,627,328,141,0.89451134
11,2,car,789,1117,486,627,328,141,0.89451134
12,2,car,789,1117,486,627,328,141,0.89451134
13,2,car,789,1117,486,627,328,141,0.89451134
14,2,car,789,1117,486,627,328,141,0.89451134
15,2,car,789,1117,486,627,328,141,0.89451134
16,2,car,789,1117,486,627,328,141,0.89451134
17,2,car,789,1117,486,627,328,141,0.89451134
18,2,car,789,1117,486,627,328,141,0.89451134
19,2,car,789,1117,486,627,328,141,0.89451134
20,2,car,789,1117,486,627,328,141,0.89451134
21,2,car,789,1117,486,627,328,141,0.89451134
22,2,car,789,1117,486,627,328,141,0.89451134
23,2,car,789,1117,486,627,328,141,0.89451134
24,2,car,789,1117,486,627,328,141,0.89451134
0,2,car,790,1117,486,627,327,141,0.92159474
1,2,car,790,1117,486,627,327,141,0.92159474
0,2,car,790,1116,484,626,326,142,0.8876234
1,2,car,790,1116,484,626,326,142,0.8876234
2,2,car,790,1116,484,626,326,142,0.8876234
0,2,car,790,1116,486,626,326,140,0.91172504
3,2,car,790,1116,484,626,326,142,0.8876234
1,2,car,790,1116,486,626,326,140,0.91172504
4,2,car,790,1116,484,626,326,142,0.8876234
2,2,car,790,1116,486,626,326,140,0.91172504
5,2,car,790,1116,484,626,326,142,0.8876234
3,2,car,790,1116,486,626,326,140,0.91172504
6,2,car,790,1116,484,626,326,142,0.8876234
4,2,car,790,1116,486,626,326,140,0.91172504
7,2,car,790,1116,484,626,326,142,0.8876234
0,2,car,790,1116,485,626,326,141,0.88695514
5,2,car,790,1116,486,626,326,140,0.91172504
8,2,car,790,1116,484,626,326,142,0.8876234
1,2,car,790,1116,485,626,326,141,0.88695514
6,2,car,790,1116,486,626,326,140,0.91172504
9,2,car,790,1116,484,626,326,142,0.8876234
2,2,car,790,1116,485,626,326,141,0.88695514
7,2,car,790,1116,486,626,326,140,0.91172504
10,2,car,790,1116,484,626,326,142,0.8876234
3,2,car,790,1116,485,626,326,141,0.88695514
8,2,car,790,1116,486,626,326,140,0.91172504
11,2,car,790,1116,484,626,326,142,0.8876234
4,2,car,790,1116,485,626,326,141,0.88695514
9,2,car,790,1116,486,626,326,140,0.91172504
12,2,car,790,1116,484,626,326,142,0.8876234
5,2,car,790,1116,485,626,326,141,0.88695514
10,2,car,790,1116,486,626,326,140,0.91172504
13,2,car,790,1116,484,626,326,142,0.8876234
6,2,car,790,1116,485,626,326,141,0.88695514
11,2,car,790,1116,486,626,326,140,0.91172504
14,2,car,790,1116,484,626,326,142,0.8876234
0,2,car,790,1116,487,626,326,139,0.94587034
7,2,car,790,1116,485,626,326,141,0.88695514
12,2,car,790,1116,486,626,326,140,0.91172504
15,2,car,790,1116,484,626,326,142,0.8876234
0,2,car,789,1115,486,626,326,140,0.914741
1,2,car,790,1116,487,626,326,139,0.94587034
8,2,car,790,1116,485,626,326,141,0.88695514
13,2,car,790,1116,486,626,326,140,0.91172504
16,2,car,790,1116,484,626,326,142,0.8876234
1,2,car,789,1115,486,626,326,140,0.914741
2,2,car,790,1116,487,626,326,139,0.94587034
9,2,car,790,1116,485,626,326,141,0.88695514
14,2,car,790,1116,486,626,326,140,0.91172504
17,2,car,790,1116,484,626,326,142,0.8876234
2,2,car,789,1115,486,626,326,140,0.914741
3,2,car,790,1116,487,626,326,139,0.94587034
10,2,car,790,1116,485,626,326,141,0.88695514
15,2,car,790,1116,486,626,326,140,0.91172504
18,2,car,790,1116,484,626,326,142,0.8876234
0,2,car,791,1116,486,626,325,140,0.8656115
1,2,car,791,1116,486,626,325,140,0.8656115
2,2,car,791,1116,486,626,325,140,0.8656115
0,2,car,791,1116,487,628,325,141,0.8024755
3,2,car,791,1116,486,626,325,140,0.8656115
1,2,car,791,1116,487,628,325,141,0.8024755
4,2,car,791,1116,486,626,325,140,0.8656115
0,2,car,791,1116,487,625,325,138,0.91379976
2,2,car,791,1116,487,628,325,141,0.8024755
5,2,car,791,1116,486,626,325,140,0.8656115
1,2,car,791,1116,487,625,325,138,0.91379976
3,2,car,791,1116,487,628,325,141,0.8024755
6,2,car,791,1116,486,626,325,140,0.8656115
2,2,car,791,1116,487,625,325,138,0.91379976
4,2,car,791,1116,487,628,325,141,0.8024755
7,2,car,791,1116,486,626,325,140,0.8656115
3,2,car,791,1116,487,625,325,138,0.91379976
5,2,car,791,1116,487,628,325,141,0.8024755
8,2,car,791,1116,486,626,325,140,0.8656115
0,2,car,791,1116,487,627,325,140,0.8636966
4,2,car,791,1116,487,625,325,138,0.91379976
6,2,car,791,1116,487,628,325,141,0.8024755
9,2,car,791,1116,486,626,325,140,0.8656115
0,2,car,791,1116,486,626,325,140,0.9374216
1,2,car,791,1116,487,627,325,140,0.8636966
5,2,car,791,1116,487,625,325,138,0.91379976
7,2,car,791,1116,487,628,325,141,0.8024755
10,2,car,791,1116,486,626,325,140,0.8656115
1,2,car,791,1116,486,626,325,140,0.9374216
2,2,car,791,1116,487,627,325,140,0.8636966
6,2,car,791,1116,487,625,325,138,0.91379976
8,2,car,791,1116,487,628,325,141,0.8024755
11,2,car,791,1116,486,626,325,140,0.8656115
2,2,car,791,1116,486,626,325,140,0.9374216
3,2,car,791,1116,487,627,325,140,0.8636966
7,2,car,791,1116,487,625,325,138,0.91379976
9,2,car,791,1116,487,628,325,141,0.8024755
12,2,car,791,1116,486,626,325,140,0.8656115
0,2,car,791,1116,487,625,325,138,0.9264912
3,2,car,791,1116,486,626,325,140,0.9374216
4,2,car,791,1116,487,627,325,140,0.8636966
8,2,car,791,1116,487,625,325,138,0.91379976
10,2,car,791,1116,487,628,325,141,0.8024755
13,2,car,791,1116,486,626,325,140,0.8656115
1,2,car,791,1116,487,625,325,138,0.9264912
4,2,car,791,1116,486,626,325,140,0.9374216
5,2,car,791,1116,487,627,325,140,0.8636966
9,2,car,791,1116,487,625,325,138,0.91379976
11,2,car,791,1116,487,628,325,141,0.8024755
14,2,car,791,1116,486,626,325,140,0.8656115
2,2,car,791,1116,487,625,325,138,0.9264912
5,2,car,791,1116,486,626,325,140,0.9374216
6,2,car,791,1116,487,627,325,140,0.8636966
10,2,car,791,1116,487,625,325,138,0.91379976
12,2,car,791,1116,487,628,325,141,0.8024755
15,2,car,791,1116,486,626,325,140,0.8656115
0,2,car,791,1116,486,627,325,141,0.8972521
3,2,car,791,1116,487,625,325,138,0.9264912
6,2,car,791,1116,486,626,325,140,0.9374216
