,cid,label,left,right,top,bottom,width,height,score
0,2,car,718,1192,491,680,474,189,0.9946807
1,2,car,718,1192,491,680,474,189,0.9946807
2,2,car,718,1192,491,680,474,189,0.9946807
3,2,car,718,1192,491,680,474,189,0.9946807
4,2,car,718,1192,491,680,474,189,0.9946807
5,2,car,718,1192,491,680,474,189,0.9946807
6,2,car,718,1192,491,680,474,189,0.9946807
7,2,car,718,1192,491,680,474,189,0.9946807
8,2,car,718,1192,491,680,474,189,0.9946807
0,2,car,718,1192,490,680,474,190,0.99396724
9,2,car,718,1192,491,680,474,189,0.9946807
1,2,car,718,1192,490,680,474,190,0.99396724
10,2,car,718,1192,491,680,474,189,0.9946807
2,2,car,718,1192,490,680,474,190,0.99396724
11,2,car,718,1192,491,680,474,189,0.9946807
3,2,car,718,1192,490,680,474,190,0.99396724
12,2,car,718,1192,491,680,474,189,0.9946807
4,2,car,718,1192,490,680,474,190,0.99396724
13,2,car,718,1192,491,680,474,189,0.9946807
5,2,car,718,1192,490,680,474,190,0.99396724
14,2,car,718,1192,491,680,474,189,0.9946807
6,2,car,718,1192,490,680,474,190,0.99396724
15,2,car,718,1192,491,680,474,189,0.9946807
7,2,car,718,1192,490,680,474,190,0.99396724
16,2,car,718,1192,491,680,474,189,0.9946807
8,2,car,718,1192,490,680,474,190,0.99396724
17,2,car,718,1192,491,680,474,189,0.9946807
9,2,car,718,1192,490,680,474,190,0.99396724
18,2,car,718,1192,491,680,474,189,0.9946807
10,2,car,718,1192,490,680,474,190,0.99396724
19,2,car,718,1192,491,680,474,189,0.9946807
11,2,car,718,1192,490,680,474,190,0.99396724
20,2,car,718,1192,491,680,474,189,0.9946807
12,2,car,718,1192,490,680,474,190,0.99396724
21,2,car,718,1192,491,680,474,189,0.9946807
13,2,car,718,1192,490,680,474,190,0.99396724
22,2,car,718,1192,491,680,474,189,0.9946807
14,2,car,718,1192,490,680,474,190,0.99396724
23,2,car,718,1192,491,680,474,189,0.9946807
15,2,car,718,1192,490,680,474,190,0.99396724
24,2,car,718,1192,491,680,474,189,0.9946807
16,2,car,718,1192,490,680,474,190,0.99396724
25,2,car,718,1192,491,680,474,189,0.9946807
17,2,car,718,1192,490,680,474,190,0.99396724
26,2,car,718,1192,491,680,474,189,0.9946807
18,2,car,718,1192,490,680,474,190,0.99396724
27,2,car,718,1192,491,680,474,189,0.9946807
19,2,car,718,1192,490,680,474,190,0.99396724
28,2,car,718,1192,491,680,474,189,0.9946807
20,2,car,718,1192,490,680,474,190,0.99396724
29,2,car,718,1192,491,680,474,189,0.9946807
21,2,car,718,1192,490,680,474,190,0.99396724
30,2,car,718,1192,491,680,474,189,0.9946807
22,2,car,718,1192,490,680,474,190,0.99396724
31,2,car,718,1192,491,680,474,189,0.9946807
23,2,car,718,1192,490,680,474,190,0.99396724
32,2,car,718,1192,491,680,474,189,0.9946807
24,2,car,718,1192,490,680,474,190,0.99396724
33,2,car,718,1192,491,680,474,189,0.9946807
25,2,car,718,1192,490,680,474,190,0.99396724
34,2,car,718,1192,491,680,474,189,0.9946807
26,2,car,718,1192,490,680,474,190,0.99396724
35,2,car,718,1192,491,680,474,189,0.9946807
27,2,car,718,1192,490,680,474,190,0.99396724
36,2,car,718,1192,491,680,474,189,0.9946807
28,2,car,718,1192,490,680,474,190,0.99396724
37,2,car,718,1192,491,680,474,189,0.9946807
