,cid,label,left,right,top,bottom,width,height,score
0,2,car,1008,1191,502,572,183,70,0.9347855
1,2,car,1008,1191,502,572,183,70,0.9347855
2,2,car,1008,1191,502,572,183,70,0.9347855
3,2,car,1008,1191,502,572,183,70,0.9347855
0,2,car,1008,1191,502,572,183,70,0.9475088
4,2,car,1008,1191,502,572,183,70,0.9347855
1,2,car,1008,1191,502,572,183,70,0.9475088
5,2,car,1008,1191,502,572,183,70,0.9347855
2,2,car,1008,1191,502,572,183,70,0.9475088
6,2,car,1008,1191,502,572,183,70,0.9347855
3,2,car,1008,1191,502,572,183,70,0.9475088
7,2,car,1008,1191,502,572,183,70,0.9347855
4,2,car,1008,1191,502,572,183,70,0.9475088
8,2,car,1008,1191,502,572,183,70,0.9347855
5,2,car,1008,1191,502,572,183,70,0.9475088
9,2,car,1008,1191,502,572,183,70,0.9347855
6,2,car,1008,1191,502,572,183,70,0.9475088
10,2,car,1008,1191,502,572,183,70,0.9347855
0,2,car,1008,1191,502,572,183,70,0.9461929
7,2,car,1008,1191,502,572,183,70,0.9475088
11,2,car,1008,1191,502,572,183,70,0.9347855
1,2,car,1008,1191,502,572,183,70,0.9461929
8,2,car,1008,1191,502,572,183,70,0.9475088
12,2,car,1008,1191,502,572,183,70,0.9347855
2,2,car,1008,1191,502,572,183,70,0.9461929
9,2,car,1008,1191,502,572,183,70,0.9475088
13,2,car,1008,1191,502,572,183,70,0.9347855
3,2,car,1008,1191,502,572,183,70,0.9461929
10,2,car,1008,1191,502,572,183,70,0.9475088
14,2,car,1008,1191,502,572,183,70,0.9347855
4,2,car,1008,1191,502,572,183,70,0.9461929
11,2,car,1008,1191,502,572,183,70,0.9475088
15,2,car,1008,1191,502,572,183,70,0.9347855
5,2,car,1008,1191,502,572,183,70,0.9461929
12,2,car,1008,1191,502,572,183,70,0.9475088
16,2,car,1008,1191,502,572,183,70,0.9347855
6,2,car,1008,1191,502,572,183,70,0.9461929
13,2,car,1008,1191,502,572,183,70,0.9475088
17,2,car,1008,1191,502,572,183,70,0.9347855
7,2,car,1008,1191,502,572,183,70,0.9461929
