,cid,label,left,right,top,bottom,width,height,score
0,2,car,535,918,471,670,383,199,0.9748594
1,2,car,535,918,471,670,383,199,0.9748594
2,2,car,535,918,471,670,383,199,0.9748594
3,2,car,535,918,471,670,383,199,0.9748594
4,2,car,535,918,471,670,383,199,0.9748594
5,2,car,535,918,471,670,383,199,0.9748594
6,2,car,535,918,471,670,383,199,0.9748594
7,2,car,535,918,471,670,383,199,0.9748594
8,2,car,535,918,471,670,383,199,0.9748594
9,2,car,535,918,471,670,383,199,0.9748594
10,2,car,535,918,471,670,383,199,0.9748594
11,2,car,535,918,471,670,383,199,0.9748594
12,2,car,535,918,471,670,383,199,0.9748594
13,2,car,535,918,471,670,383,199,0.9748594
14,2,car,535,918,471,670,383,199,0.9748594
15,2,car,535,918,471,670,383,199,0.9748594
16,2,car,535,918,471,670,383,199,0.9748594
17,2,car,535,918,471,670,383,199,0.9748594
18,2,car,535,918,471,670,383,199,0.9748594
19,2,car,535,918,471,670,383,199,0.9748594
20,2,car,535,918,471,670,383,199,0.9748594
21,2,car,535,918,471,670,383,199,0.9748594
22,2,car,535,918,471,670,383,199,0.9748594
23,2,car,535,918,471,670,383,199,0.9748594
24,2,car,535,918,471,670,383,199,0.9748594
0,2,car,534,916,471,672,382,201,0.96851116
1,2,car,534,916,471,672,382,201,0.96851116
2,2,car,534,916,471,672,382,201,0.96851116
3,2,car,534,916,471,672,382,201,0.96851116
4,2,car,534,916,471,672,382,201,0.96851116
5,2,car,534,916,471,672,382,201,0.96851116
6,2,car,534,916,471,672,382,201,0.96851116
7,2,car,534,916,471,672,382,201,0.96851116
8,2,car,534,916,471,672,382,201,0.96851116
9,2,car,534,916,471,672,382,201,0.96851116
10,2,car,534,916,471,672,382,201,0.96851116
11,2,car,534,916,471,672,382,201,0.96851116
12,2,car,534,916,471,672,382,201,0.96851116
13,2,car,534,916,471,672,382,201,0.96851116
14,2,car,534,916,471,672,382,201,0.96851116
15,2,car,534,916,471,672,382,201,0.96851116
16,2,car,534,916,471,672,382,201,0.96851116
17,2,car,534,916,471,672,382,201,0.96851116
18,2,car,534,916,471,672,382,201,0.96851116
19,2,car,534,916,471,672,382,201,0.96851116
20,2,car,534,916,471,672,382,201,0.96851116
21,2,car,534,916,471,672,382,201,0.96851116
22,2,car,534,916,471,672,382,201,0.96851116
23,2,car,534,916,471,672,382,201,0.96851116
