,cid,label,left,right,top,bottom,width,height,score
0,2,car,591,911,482,650,320,168,0.99045604
1,2,car,591,911,482,650,320,168,0.99045604
0,2,car,592,912,482,651,320,169,0.9904916
2,2,car,591,911,482,650,320,168,0.99045604
1,2,car,592,912,482,651,320,169,0.9904916
3,2,car,591,911,482,650,320,168,0.99045604
2,2,car,592,912,482,651,320,169,0.9904916
4,2,car,591,911,482,650,320,168,0.99045604
3,2,car,592,912,482,651,320,169,0.9904916
5,2,car,591,911,482,650,320,168,0.99045604
4,2,car,592,912,482,651,320,169,0.9904916
6,2,car,591,911,482,650,320,168,0.99045604
5,2,car,592,912,482,651,320,169,0.9904916
7,2,car,591,911,482,650,320,168,0.99045604
6,2,car,592,912,482,651,320,169,0.9904916
8,2,car,591,911,482,650,320,168,0.99045604
7,2,car,592,912,482,651,320,169,0.9904916
9,2,car,591,911,482,650,320,168,0.99045604
8,2,car,592,912,482,651,320,169,0.9904916
10,2,car,591,911,482,650,320,168,0.99045604
9,2,car,592,912,482,651,320,169,0.9904916
11,2,car,591,911,482,650,320,168,0.99045604
10,2,car,592,912,482,651,320,169,0.9904916
12,2,car,591,911,482,650,320,168,0.99045604
11,2,car,592,912,482,651,320,169,0.9904916
13,2,car,591,911,482,650,320,168,0.99045604
12,2,car,592,912,482,651,320,169,0.9904916
14,2,car,591,911,482,650,320,168,0.99045604
13,2,car,592,912,482,651,320,169,0.9904916
15,2,car,591,911,482,650,320,168,0.99045604
14,2,car,592,912,482,651,320,169,0.9904916
16,2,car,591,911,482,650,320,168,0.99045604
15,2,car,592,912,482,651,320,169,0.9904916
17,2,car,591,911,482,650,320,168,0.99045604
16,2,car,592,912,482,651,320,169,0.9904916
18,2,car,591,911,482,650,320,168,0.99045604
17,2,car,592,912,482,651,320,169,0.9904916
19,2,car,591,911,482,650,320,168,0.99045604
18,2,car,592,912,482,651,320,169,0.9904916
20,2,car,591,911,482,650,320,168,0.99045604
19,2,car,592,912,482,651,320,169,0.9904916
21,2,car,591,911,482,650,320,168,0.99045604
20,2,car,592,912,482,651,320,169,0.9904916
22,2,car,591,911,482,650,320,168,0.99045604
21,2,car,592,912,482,651,320,169,0.9904916
23,2,car,591,911,482,650,320,168,0.99045604
22,2,car,592,912,482,651,320,169,0.9904916
24,2,car,591,911,482,650,320,168,0.99045604
23,2,car,592,912,482,651,320,169,0.9904916
25,2,car,591,911,482,650,320,168,0.99045604
24,2,car,592,912,482,651,320,169,0.9904916
26,2,car,591,911,482,650,320,168,0.99045604
25,2,car,592,912,482,651,320,169,0.9904916
27,2,car,591,911,482,650,320,168,0.99045604
26,2,car,592,912,482,651,320,169,0.9904916
28,2,car,591,911,482,650,320,168,0.99045604
27,2,car,592,912,482,651,320,169,0.9904916
29,2,car,591,911,482,650,320,168,0.99045604
28,2,car,592,912,482,651,320,169,0.9904916
30,2,car,591,911,482,650,320,168,0.99045604
29,2,car,592,912,482,651,320,169,0.9904916
31,2,car,591,911,482,650,320,168,0.99045604
30,2,car,592,912,482,651,320,169,0.9904916
32,2,car,591,911,482,650,320,168,0.99045604
31,2,car,592,912,482,651,320,169,0.9904916
33,2,car,591,911,482,650,320,168,0.99045604
32,2,car,592,912,482,651,320,169,0.9904916
34,2,car,591,911,482,650,320,168,0.99045604
33,2,car,592,912,482,651,320,169,0.9904916
35,2,car,591,911,482,650,320,168,0.99045604
34,2,car,592,912,482,651,320,169,0.9904916
36,2,car,591,911,482,650,320,168,0.99045604
35,2,car,592,912,482,651,320,169,0.9904916
37,2,car,591,911,482,650,320,168,0.99045604
36,2,car,592,912,482,651,320,169,0.9904916
38,2,car,591,911,482,650,320,168,0.99045604
37,2,car,592,912,482,651,320,169,0.9904916
39,2,car,591,911,482,650,320,168,0.99045604
38,2,car,592,912,482,651,320,169,0.9904916
40,2,car,591,911,482,650,320,168,0.99045604
39,2,car,592,912,482,651,320,169,0.9904916
41,2,car,591,911,482,650,320,168,0.99045604
40,2,car,592,912,482,651,320,169,0.9904916
42,2,car,591,911,482,650,320,168,0.99045604
41,2,car,592,912,482,651,320,169,0.9904916
43,2,car,591,911,482,650,320,168,0.99045604
42,2,car,592,912,482,651,320,169,0.9904916
44,2,car,591,911,482,650,320,168,0.99045604
43,2,car,592,912,482,651,320,169,0.9904916
45,2,car,591,911,482,650,320,168,0.99045604
44,2,car,592,912,482,651,320,169,0.9904916
46,2,car,591,911,482,650,320,168,0.99045604
45,2,car,592,912,482,651,320,169,0.9904916
47,2,car,591,911,482,650,320,168,0.99045604
46,2,car,592,912,482,651,320,169,0.9904916
48,2,car,591,911,482,650,320,168,0.99045604
47,2,car,592,912,482,651,320,169,0.9904916
49,2,car,591,911,482,650,320,168,0.99045604
48,2,car,592,912,482,651,320,169,0.9904916
50,2,car,591,911,482,650,320,168,0.99045604
49,2,car,592,912,482,651,320,169,0.9904916
51,2,car,591,911,482,650,320,168,0.99045604
50,2,car,592,912,482,651,320,169,0.9904916
52,2,car,591,911,482,650,320,168,0.99045604
51,2,car,592,912,482,651,320,169,0.9904916
53,2,car,591,911,482,650,320,168,0.99045604
52,2,car,592,912,482,651,320,169,0.9904916
54,2,car,591,911,482,650,320,168,0.99045604
53,2,car,592,912,482,651,320,169,0.9904916
55,2,car,591,911,482,650,320,168,0.99045604
54,2,car,592,912,482,651,320,169,0.9904916
56,2,car,591,911,482,650,320,168,0.99045604
55,2,car,592,912,482,651,320,169,0.9904916
57,2,car,591,911,482,650,320,168,0.99045604
56,2,car,592,912,482,651,320,169,0.9904916
58,2,car,591,911,482,650,320,168,0.99045604
57,2,car,592,912,482,651,320,169,0.9904916
59,2,car,591,911,482,650,320,168,0.99045604
58,2,car,592,912,482,651,320,169,0.9904916
60,2,car,591,911,482,650,320,168,0.99045604
59,2,car,592,912,482,651,320,169,0.9904916
61,2,car,591,911,482,650,320,168,0.99045604
60,2,car,592,912,482,651,320,169,0.9904916
62,2,car,591,911,482,650,320,168,0.99045604
61,2,car,592,912,482,651,320,169,0.9904916
63,2,car,591,911,482,650,320,168,0.99045604
62,2,car,592,912,482,651,320,169,0.9904916
64,2,car,591,911,482,650,320,168,0.99045604
63,2,car,592,912,482,651,320,169,0.9904916
65,2,car,591,911,482,650,320,168,0.99045604
64,2,car,592,912,482,651,320,169,0.9904916
66,2,car,591,911,482,650,320,168,0.99045604
65,2,car,592,912,482,651,320,169,0.9904916
67,2,car,591,911,482,650,320,168,0.99045604
66,2,car,592,912,482,651,320,169,0.9904916
68,2,car,591,911,482,650,320,168,0.99045604
67,2,car,592,912,482,651,320,169,0.9904916
69,2,car,591,911,482,650,320,168,0.99045604
68,2,car,592,912,482,651,320,169,0.9904916
70,2,car,591,911,482,650,320,168,0.99045604
69,2,car,592,912,482,651,320,169,0.9904916
71,2,car,591,911,482,650,320,168,0.99045604
70,2,car,592,912,482,651,320,169,0.9904916
72,2,car,591,911,482,650,320,168,0.99045604
71,2,car,592,912,482,651,320,169,0.9904916
73,2,car,591,911,482,650,320,168,0.99045604
72,2,car,592,912,482,651,320,169,0.9904916
74,2,car,591,911,482,650,320,168,0.99045604
73,2,car,592,912,482,651,320,169,0.9904916
75,2,car,591,911,482,650,320,168,0.99045604
74,2,car,592,912,482,651,320,169,0.9904916
76,2,car,591,911,482,650,320,168,0.99045604
75,2,car,592,912,482,651,320,169,0.9904916
77,2,car,591,911,482,650,320,168,0.99045604
76,2,car,592,912,482,651,320,169,0.9904916
78,2,car,591,911,482,650,320,168,0.99045604
77,2,car,592,912,482,651,320,169,0.9904916
79,2,car,591,911,482,650,320,168,0.99045604
78,2,car,592,912,482,651,320,169,0.9904916
80,2,car,591,911,482,650,320,168,0.99045604
79,2,car,592,912,482,651,320,169,0.9904916
81,2,car,591,911,482,650,320,168,0.99045604
80,2,car,592,912,482,651,320,169,0.9904916
82,2,car,591,911,482,650,320,168,0.99045604
81,2,car,592,912,482,651,320,169,0.9904916
83,2,car,591,911,482,650,320,168,0.99045604
82,2,car,592,912,482,651,320,169,0.9904916
84,2,car,591,911,482,650,320,168,0.99045604
83,2,car,592,912,482,651,320,169,0.9904916
85,2,car,591,911,482,650,320,168,0.99045604
84,2,car,592,912,482,651,320,169,0.9904916
86,2,car,591,911,482,650,320,168,0.99045604
85,2,car,592,912,482,651,320,169,0.9904916
87,2,car,591,911,482,650,320,168,0.99045604
86,2,car,592,912,482,651,320,169,0.9904916
88,2,car,591,911,482,650,320,168,0.99045604
87,2,car,592,912,482,651,320,169,0.9904916
89,2,car,591,911,482,650,320,168,0.99045604
