,cid,label,left,right,top,bottom,width,height,score
0,2,car,1027,1191,504,571,164,67,0.92722684
1,2,car,1027,1191,504,571,164,67,0.92722684
2,2,car,1027,1191,504,571,164,67,0.92722684
3,2,car,1027,1191,504,571,164,67,0.92722684
4,2,car,1027,1191,504,571,164,67,0.92722684
5,2,car,1027,1191,504,571,164,67,0.92722684
6,2,car,1027,1191,504,571,164,67,0.92722684
7,2,car,1027,1191,504,571,164,67,0.92722684
8,2,car,1027,1191,504,571,164,67,0.92722684
9,2,car,1027,1191,504,571,164,67,0.92722684
10,2,car,1027,1191,504,571,164,67,0.92722684
11,2,car,1027,1191,504,571,164,67,0.92722684
12,2,car,1027,1191,504,571,164,67,0.92722684
13,2,car,1027,1191,504,571,164,67,0.92722684
14,2,car,1027,1191,504,571,164,67,0.92722684
15,2,car,1027,1191,504,571,164,67,0.92722684
16,2,car,1027,1191,504,571,164,67,0.92722684
17,2,car,1027,1191,504,571,164,67,0.92722684
18,2,car,1027,1191,504,571,164,67,0.92722684
19,2,car,1027,1191,504,571,164,67,0.92722684
20,2,car,1027,1191,504,571,164,67,0.92722684
21,2,car,1027,1191,504,571,164,67,0.92722684
22,2,car,1027,1191,504,571,164,67,0.92722684
23,2,car,1027,1191,504,571,164,67,0.92722684
24,2,car,1027,1191,504,571,164,67,0.92722684
25,2,car,1027,1191,504,571,164,67,0.92722684
26,2,car,1027,1191,504,571,164,67,0.92722684
27,2,car,1027,1191,504,571,164,67,0.92722684
28,2,car,1027,1191,504,571,164,67,0.92722684
29,2,car,1027,1191,504,571,164,67,0.92722684
0,2,car,1029,1190,504,571,161,67,0.93669146
1,2,car,1029,1190,504,571,161,67,0.93669146
2,2,car,1029,1190,504,571,161,67,0.93669146
3,2,car,1029,1190,504,571,161,67,0.93669146
4,2,car,1029,1190,504,571,161,67,0.93669146
5,2,car,1029,1190,504,571,161,67,0.93669146
6,2,car,1029,1190,504,571,161,67,0.93669146
7,2,car,1029,1190,504,571,161,67,0.93669146
8,2,car,1029,1190,504,571,161,67,0.93669146
9,2,car,1029,1190,504,571,161,67,0.93669146
10,2,car,1029,1190,504,571,161,67,0.93669146
11,2,car,1029,1190,504,571,161,67,0.93669146
12,2,car,1029,1190,504,571,161,67,0.93669146
13,2,car,1029,1190,504,571,161,67,0.93669146
14,2,car,1029,1190,504,571,161,67,0.93669146
15,2,car,1029,1190,504,571,161,67,0.93669146
16,2,car,1029,1190,504,571,161,67,0.93669146
17,2,car,1029,1190,504,571,161,67,0.93669146
18,2,car,1029,1190,504,571,161,67,0.93669146
19,2,car,1029,1190,504,571,161,67,0.93669146
20,2,car,1029,1190,504,571,161,67,0.93669146
21,2,car,1029,1190,504,571,161,67,0.93669146
22,2,car,1029,1190,504,571,161,67,0.93669146
23,2,car,1029,1190,504,571,161,67,0.93669146
24,2,car,1029,1190,504,571,161,67,0.93669146
25,2,car,1029,1190,504,571,161,67,0.93669146
26,2,car,1029,1190,504,571,161,67,0.93669146
27,2,car,1029,1190,504,571,161,67,0.93669146
28,2,car,1029,1190,504,571,161,67,0.93669146
29,2,car,1029,1190,504,571,161,67,0.93669146
30,2,car,1029,1190,504,571,161,67,0.93669146
