,cid,label,left,right,top,bottom,width,height,score
0,2,car,764,948,484,584,184,100,0.88123393
0,2,car,762,949,483,585,187,102,0.91119516
1,2,car,764,948,484,584,184,100,0.88123393
0,2,car,763,950,483,585,187,102,0.9316735
1,2,car,762,949,483,585,187,102,0.91119516
2,2,car,764,948,484,584,184,100,0.88123393
0,2,car,764,949,481,585,185,104,0.8851314
1,2,car,763,950,483,585,187,102,0.9316735
2,2,car,762,949,483,585,187,102,0.91119516
3,2,car,764,948,484,584,184,100,0.88123393
0,2,car,763,950,483,586,187,103,0.92612064
1,2,car,764,949,481,585,185,104,0.8851314
2,2,car,763,950,483,585,187,102,0.9316735
3,2,car,762,949,483,585,187,102,0.91119516
4,2,car,764,948,484,584,184,100,0.88123393
0,2,car,764,948,483,585,184,102,0.9119719
1,2,car,763,950,483,586,187,103,0.92612064
2,2,car,764,949,481,585,185,104,0.8851314
3,2,car,763,950,483,585,187,102,0.9316735
4,2,car,762,949,483,585,187,102,0.91119516
5,2,car,764,948,484,584,184,100,0.88123393
0,2,car,763,949,483,585,186,102,0.9340434
1,2,car,764,948,483,585,184,102,0.9119719
2,2,car,763,950,483,586,187,103,0.92612064
3,2,car,764,949,481,585,185,104,0.8851314
4,2,car,763,950,483,585,187,102,0.9316735
5,2,car,762,949,483,585,187,102,0.91119516
6,2,car,764,948,484,584,184,100,0.88123393
0,2,car,765,948,484,585,183,101,0.9057658
1,2,car,763,949,483,585,186,102,0.9340434
2,2,car,764,948,483,585,184,102,0.9119719
3,2,car,763,950,483,586,187,103,0.92612064
4,2,car,764,949,481,585,185,104,0.8851314
5,2,car,763,950,483,585,187,102,0.9316735
6,2,car,762,949,483,585,187,102,0.91119516
7,2,car,764,948,484,584,184,100,0.88123393
0,2,car,761,949,484,585,188,101,0.9150736
1,2,car,765,948,484,585,183,101,0.9057658
2,2,car,763,949,483,585,186,102,0.9340434
3,2,car,764,948,483,585,184,102,0.9119719
4,2,car,763,950,483,586,187,103,0.92612064
5,2,car,764,949,481,585,185,104,0.8851314
6,2,car,763,950,483,585,187,102,0.9316735
7,2,car,762,949,483,585,187,102,0.91119516
