,cid,label,left,right,top,bottom,width,height,score
0,2,car,580,680,510,580,100,70,0.93521166
0,2,car,579,681,511,580,102,69,0.94917417
1,2,car,580,680,510,580,100,70,0.93521166
0,2,car,580,680,511,580,100,69,0.9298352
1,2,car,579,681,511,580,102,69,0.94917417
2,2,car,580,680,510,580,100,70,0.93521166
0,2,car,545,672,505,597,127,92,0.90762085
1,2,car,580,680,511,580,100,69,0.9298352
2,2,car,579,681,511,580,102,69,0.94917417
3,2,car,580,680,510,580,100,70,0.93521166
0,2,car,546,673,505,597,127,92,0.93264186
1,2,car,545,672,505,597,127,92,0.90762085
2,2,car,580,680,511,580,100,69,0.9298352
3,2,car,579,681,511,580,102,69,0.94917417
4,2,car,580,680,510,580,100,70,0.93521166
0,2,car,546,671,505,597,125,92,0.9240719
1,2,car,546,673,505,597,127,92,0.93264186
2,2,car,545,672,505,597,127,92,0.90762085
3,2,car,580,680,511,580,100,69,0.9298352
4,2,car,579,681,511,580,102,69,0.94917417
5,2,car,580,680,510,580,100,70,0.93521166
0,2,car,546,673,506,597,127,91,0.91824025
1,2,car,546,671,505,597,125,92,0.9240719
2,2,car,546,673,505,597,127,92,0.93264186
3,2,car,545,672,505,597,127,92,0.90762085
4,2,car,580,680,511,580,100,69,0.9298352
5,2,car,579,681,511,580,102,69,0.94917417
6,2,car,580,680,510,580,100,70,0.93521166
0,2,car,547,672,505,596,125,91,0.9359517
1,2,car,546,673,506,597,127,91,0.91824025
2,2,car,546,671,505,597,125,92,0.9240719
3,2,car,546,673,505,597,127,92,0.93264186
4,2,car,545,672,505,597,127,92,0.90762085
5,2,car,580,680,511,580,100,69,0.9298352
6,2,car,579,681,511,580,102,69,0.94917417
7,2,car,580,680,510,580,100,70,0.93521166
0,2,car,544,673,504,596,129,92,0.88723445
1,2,car,547,672,505,596,125,91,0.9359517
2,2,car,546,673,506,597,127,91,0.91824025
3,2,car,546,671,505,597,125,92,0.9240719
4,2,car,546,673,505,597,127,92,0.93264186
5,2,car,545,672,505,597,127,92,0.90762085
6,2,car,580,680,511,580,100,69,0.9298352
7,2,car,579,681,511,580,102,69,0.94917417
8,2,car,580,680,510,580,100,70,0.93521166
0,2,car,546,673,505,595,127,90,0.9189536
1,2,car,544,673,504,596,129,92,0.88723445
2,2,car,547,672,505,596,125,91,0.9359517
3,2,car,546,673,506,597,127,91,0.91824025
4,2,car,546,671,505,597,125,92,0.9240719
5,2,car,546,673,505,597,127,92,0.93264186
6,2,car,545,672,505,597,127,92,0.90762085
7,2,car,580,680,511,580,100,69,0.9298352
8,2,car,579,681,511,580,102,69,0.94917417
9,2,car,580,680,510,580,100,70,0.93521166
0,2,car,545,671,505,598,126,93,0.9364848
1,2,car,546,673,505,595,127,90,0.9189536
2,2,car,544,673,504,596,129,92,0.88723445
3,2,car,547,672,505,596,125,91,0.9359517
4,2,car,546,673,506,597,127,91,0.91824025
5,2,car,546,671,505,597,125,92,0.9240719
6,2,car,546,673,505,597,127,92,0.93264186
7,2,car,545,672,505,597,127,92,0.90762085
8,2,car,580,680,511,580,100,69,0.9298352
9,2,car,579,681,511,580,102,69,0.94917417
10,2,car,580,680,510,580,100,70,0.93521166
0,2,car,544,672,505,598,128,93,0.89753073
1,2,car,545,671,505,598,126,93,0.9364848
2,2,car,546,673,505,595,127,90,0.9189536
3,2,car,544,673,504,596,129,92,0.88723445
4,2,car,547,672,505,596,125,91,0.9359517
5,2,car,546,673,506,597,127,91,0.91824025
6,2,car,546,671,505,597,125,92,0.9240719
7,2,car,546,673,505,597,127,92,0.93264186
8,2,car,545,672,505,597,127,92,0.90762085
9,2,car,580,680,511,580,100,69,0.9298352
10,2,car,579,681,511,580,102,69,0.94917417
11,2,car,580,680,510,580,100,70,0.93521166
0,2,car,544,672,505,596,128,91,0.8909773
1,2,car,544,672,505,598,128,93,0.89753073
2,2,car,545,671,505,598,126,93,0.9364848
3,2,car,546,673,505,595,127,90,0.9189536
4,2,car,544,673,504,596,129,92,0.88723445
5,2,car,547,672,505,596,125,91,0.9359517
6,2,car,546,673,506,597,127,91,0.91824025
7,2,car,546,671,505,597,125,92,0.9240719
8,2,car,546,673,505,597,127,92,0.93264186
9,2,car,545,672,505,597,127,92,0.90762085
10,2,car,580,680,511,580,100,69,0.9298352
11,2,car,579,681,511,580,102,69,0.94917417
12,2,car,580,680,510,580,100,70,0.93521166
0,2,car,544,672,505,596,128,91,0.8871947
1,2,car,544,672,505,596,128,91,0.8909773
2,2,car,544,672,505,598,128,93,0.89753073
3,2,car,545,671,505,598,126,93,0.9364848
4,2,car,546,673,505,595,127,90,0.9189536
5,2,car,544,673,504,596,129,92,0.88723445
6,2,car,547,672,505,596,125,91,0.9359517
7,2,car,546,673,506,597,127,91,0.91824025
8,2,car,546,671,505,597,125,92,0.9240719
9,2,car,546,673,505,597,127,92,0.93264186
10,2,car,545,672,505,597,127,92,0.90762085
11,2,car,580,680,511,580,100,69,0.9298352
12,2,car,579,681,511,580,102,69,0.94917417
13,2,car,580,680,510,580,100,70,0.93521166
0,2,car,544,673,505,596,129,91,0.90470976
1,2,car,544,672,505,596,128,91,0.8871947
