,cid,label,left,right,top,bottom,width,height,score
0,2,car,555,657,503,581,102,78,0.92308795
0,2,car,555,660,503,581,105,78,0.92712647
1,2,car,555,657,503,581,102,78,0.92308795
0,2,car,555,658,504,581,103,77,0.95985675
1,2,car,555,660,503,581,105,78,0.92712647
2,2,car,555,657,503,581,102,78,0.92308795
0,2,car,663,819,473,562,156,89,0.9598962
1,2,car,555,658,504,581,103,77,0.95985675
2,2,car,555,660,503,581,105,78,0.92712647
3,2,car,555,657,503,581,102,78,0.92308795
0,2,car,664,821,473,561,157,88,0.95692146
1,2,car,663,819,473,562,156,89,0.9598962
2,2,car,555,658,504,581,103,77,0.95985675
3,2,car,555,660,503,581,105,78,0.92712647
4,2,car,555,657,503,581,102,78,0.92308795
0,2,car,654,816,477,565,162,88,0.9663858
1,2,car,664,821,473,561,157,88,0.95692146
2,2,car,663,819,473,562,156,89,0.9598962
3,2,car,555,658,504,581,103,77,0.95985675
4,2,car,555,660,503,581,105,78,0.92712647
5,2,car,555,657,503,581,102,78,0.92308795
0,2,car,663,820,473,562,157,89,0.9502056
1,2,car,654,816,477,565,162,88,0.9663858
2,2,car,664,821,473,561,157,88,0.95692146
3,2,car,663,819,473,562,156,89,0.9598962
4,2,car,555,658,504,581,103,77,0.95985675
5,2,car,555,660,503,581,105,78,0.92712647
6,2,car,555,657,503,581,102,78,0.92308795
0,2,car,663,820,473,561,157,88,0.9454987
1,2,car,663,820,473,562,157,89,0.9502056
2,2,car,654,816,477,565,162,88,0.9663858
3,2,car,664,821,473,561,157,88,0.95692146
4,2,car,663,819,473,562,156,89,0.9598962
5,2,car,555,658,504,581,103,77,0.95985675
6,2,car,555,660,503,581,105,78,0.92712647
7,2,car,555,657,503,581,102,78,0.92308795
0,2,car,665,820,474,561,155,87,0.9429712
1,2,car,663,820,473,561,157,88,0.9454987
2,2,car,663,820,473,562,157,89,0.9502056
3,2,car,654,816,477,565,162,88,0.9663858
4,2,car,664,821,473,561,157,88,0.95692146
5,2,car,663,819,473,562,156,89,0.9598962
6,2,car,555,658,504,581,103,77,0.95985675
7,2,car,555,660,503,581,105,78,0.92712647
8,2,car,555,657,503,581,102,78,0.92308795
0,2,car,661,821,473,561,160,88,0.93799096
1,2,car,665,820,474,561,155,87,0.9429712
2,2,car,663,820,473,561,157,88,0.9454987
3,2,car,663,820,473,562,157,89,0.9502056
4,2,car,654,816,477,565,162,88,0.9663858
5,2,car,664,821,473,561,157,88,0.95692146
6,2,car,663,819,473,562,156,89,0.9598962
7,2,car,555,658,504,581,103,77,0.95985675
8,2,car,555,660,503,581,105,78,0.92712647
9,2,car,555,657,503,581,102,78,0.92308795
0,2,car,652,815,473,561,163,88,0.96299314
1,2,car,661,821,473,561,160,88,0.93799096
2,2,car,665,820,474,561,155,87,0.9429712
3,2,car,663,820,473,561,157,88,0.9454987
4,2,car,663,820,473,562,157,89,0.9502056
5,2,car,654,816,477,565,162,88,0.9663858
6,2,car,664,821,473,561,157,88,0.95692146
7,2,car,663,819,473,562,156,89,0.9598962
8,2,car,555,658,504,581,103,77,0.95985675
9,2,car,555,660,503,581,105,78,0.92712647
10,2,car,555,657,503,581,102,78,0.92308795
0,2,car,662,821,473,561,159,88,0.9455218
1,2,car,652,815,473,561,163,88,0.96299314
2,2,car,661,821,473,561,160,88,0.93799096
3,2,car,665,820,474,561,155,87,0.9429712
4,2,car,663,820,473,561,157,88,0.9454987
5,2,car,663,820,473,562,157,89,0.9502056
6,2,car,654,816,477,565,162,88,0.9663858
7,2,car,664,821,473,561,157,88,0.95692146
8,2,car,663,819,473,562,156,89,0.9598962
9,2,car,555,658,504,581,103,77,0.95985675
10,2,car,555,660,503,581,105,78,0.92712647
11,2,car,555,657,503,581,102,78,0.92308795
0,2,car,665,819,473,562,154,89,0.9688721
1,2,car,662,821,473,561,159,88,0.9455218
2,2,car,652,815,473,561,163,88,0.96299314
3,2,car,661,821,473,561,160,88,0.93799096
4,2,car,665,820,474,561,155,87,0.9429712
5,2,car,663,820,473,561,157,88,0.9454987
6,2,car,663,820,473,562,157,89,0.9502056
7,2,car,654,816,477,565,162,88,0.9663858
8,2,car,664,821,473,561,157,88,0.95692146
9,2,car,663,819,473,562,156,89,0.9598962
10,2,car,555,658,504,581,103,77,0.95985675
11,2,car,555,660,503,581,105,78,0.92712647
12,2,car,555,657,503,581,102,78,0.92308795
0,2,car,653,814,473,561,161,88,0.9585566
1,2,car,665,819,473,562,154,89,0.9688721
2,2,car,662,821,473,561,159,88,0.9455218
3,2,car,652,815,473,561,163,88,0.96299314
4,2,car,661,821,473,561,160,88,0.93799096
5,2,car,665,820,474,561,155,87,0.9429712
6,2,car,663,820,473,561,157,88,0.9454987
7,2,car,663,820,473,562,157,89,0.9502056
