vehicle,dist,angle,mean height,mean width,height to width ratio,width to height ratio,q1-1.5*iqr height,q3+1.5*iqr height,q1-1.5*iqr width,q3+1.5*iqr width
sedan,9,30,83.20190274841438,167.51479915433404,0.49668389401081603,2.01335298377568,82.0,84.0,168.0,171.0
van,12,0,76.89162561576354,101.77586206896552,0.7554996248880713,1.3236273944519188,76.0,80.0,102.0,105.0
van,3,60,237.51904761904763,514.6952380952381,0.46147512166238,2.16696405300828,250.0,260.0,539.0,562.0
crv,3,60,230.64,486.40615384615387,0.47417163244392146,2.1089410069639,232.0,239.0,500.0,512.0
van,9,60,94.76521739130435,255.46376811594203,0.3709536506495717,2.695754572704472,95.0,101.0,247.0,271.0
sedan,3,0,209.66922683051715,299.4147465437788,0.7002635282690075,1.4280338181711618,216.0,220.0,309.0,315.0
crv,15,30,69.43666666666667,116.21,0.5975102544244615,1.6736114444817818,69.0,71.0,124.0,126.0
crv,6,30,135.51383399209487,268.82608695652175,0.5040948054048491,1.9837538282047542,133.0,136.0,255.0,259.0
sedan,9,60,86.33487511563368,210.00740055504164,0.4111039653243355,2.4324747128407336,86.0,87.0,213.0,218.0
van,3,30,214.93984962406014,399.04323308270676,0.5386380016109962,1.8565344387308917,194.0,251.0,364.0,397.0
van,3,0,266.67329047340735,393.8947983635301,0.6770165322855862,1.4770688045445979,201.0,278.0,389.0,400.0
van,9,0,98.51693404634581,151.07130124777183,0.6521220988542908,1.533455163928494,98.0,101.0,142.0,151.0
van,15,0,67.25369458128078,99.33990147783251,0.6770058514331052,1.4770921076725876,66.0,69.0,89.0,93.0
sedan,12,60,64.63584637268848,194.70128022759602,0.33197442922374426,3.0122801998283415,65.0,68.0,198.0,204.0
sedan,12,0,69.32007575757575,105.45643939393939,0.6573337404141448,1.521297232316057,68.0,71.0,99.0,102.0
sedan,12,30,68.41176470588235,150.7825311942959,0.45371147548735646,2.204043878162537,68.0,69.0,139.0,143.0
van,12,60,75.96669750231267,202.12303422756708,0.37584384082015604,2.6606794934242575,73.0,77.0,206.0,212.0
van,12,30,86.43993993993993,148.94144144144144,0.5803619134028932,1.7230627594712433,86.0,89.0,153.0,164.0
sedan,6,30,114.01015965166908,230.81640058055152,0.4939430619527455,2.0245248430995635,114.0,115.0,224.0,229.0
crv,12,60,80.3731884057971,184.93478260869566,0.43460287606285014,2.3009511788306365,76.0,79.0,174.0,180.0
sedan,3,60,188.67882392548535,462.54752553024355,0.4079122976805302,2.451507360004092,186.0,192.0,464.0,474.0
van,15,60,69.45967741935483,177.94354838709677,0.39034670292318147,2.5618251480320446,69.0,72.0,177.0,183.0
crv,12,0,76.33288104929896,104.29579375848033,0.7318883945220687,1.366328537909132,74.0,82.0,103.0,106.0
sedan,15,0,54.37294685990338,86.00772946859904,0.6321867487474443,1.5818110739924658,54.0,55.0,84.0,88.0
sedan,6,60,105.0795559666975,282.43015726179465,0.3720550134782366,2.687774559604194,107.0,109.0,289.0,295.0
sedan,15,60,53.8000852514919,160.00852514919012,0.33623261761415096,2.9741314423800658,53.0,54.0,161.0,161.0
crv,6,60,159.26896551724138,359.1333333333333,0.44348143359172465,2.254885828931035,138.0,142.0,320.0,328.0
sedan,6,0,128.92146892655367,183.34463276836158,0.703164673980032,1.4221419775538913,127.0,130.0,181.0,186.0
sedan,3,30,170.53636363636363,320.00444444444446,0.5329187347145431,1.8764587072279382,167.0,170.0,319.0,322.0
van,9,30,99.07399577167018,194.89323467230443,0.5083501022406153,1.967148222440357,97.0,101.0,169.0,193.0
sedan,15,30,57.30338164251208,122.69855072463768,0.4670257415763074,2.1412095971943548,57.0,59.0,124.0,129.0
crv,15,60,67.86769230769231,154.11384615384614,0.4403737496755646,2.270798385999909,67.0,68.0,159.0,166.0
crv,12,30,82.83666666666667,146.63666666666666,0.5649110045236526,1.770190334392982,78.0,85.0,143.0,152.0
sedan,9,0,87.56854838709677,122.24395161290323,0.7163425857206471,1.3959801077496894,90.0,93.0,124.0,130.0
van,6,30,133.9746835443038,246.52784810126582,0.5434464486513964,1.840107709750567,132.0,136.0,249.0,255.0
crv,15,0,67.27394957983194,88.99495798319327,0.7559298987762503,1.322873988208254,65.0,67.0,86.0,89.0
crv,3,30,206.29637096774192,377.81048387096774,0.5460313563934811,1.8313966556883596,193.0,205.0,374.0,391.0
crv,9,60,98.43051948051948,217.93766233766235,0.45164529354277405,2.214126913967925,96.0,100.0,218.0,238.0
van,6,60,142.1681749622926,310.9841628959276,0.4571556751906684,2.1874386653581945,141.0,146.0,315.0,321.0
crv,9,30,101.80049261083744,186.807881773399,0.5449475238647751,1.8350390747864798,100.0,104.0,183.0,191.0
van,15,30,67.84210526315789,146.5,0.463086042751931,2.1594259115593486,66.0,70.0,132.0,180.0
van,6,0,130.30752688172043,175.93978494623656,0.740637070356427,1.350188965722113,136.0,139.0,178.0,187.0
crv,9,0,101.16822429906541,146.9053738317757,0.6886625156062377,1.4520900692840648,100.0,104.0,138.0,146.0
crv,6,0,145.59714795008912,206.8752228163993,0.7037921021566989,1.4208741429970617,144.0,150.0,197.0,204.0
crv,3,0,260.5105263157895,352.82105263157894,0.7383644608866878,1.354344707760066,257.0,263.0,349.0,356.0
