vehicle,dist,angle,mean height,mean width,height to width ratio,width to height ratio,q1-1.5*iqr height,q3+1.5*iqr height,q1-1.5*iqr width,q3+1.5*iqr width
crv,15,0,67.27394957983194,88.99495798319327,0.7559298987762503,1.322873988208254,65.0,67.0,86.0,89.0
crv,12,0,76.33288104929896,104.29579375848033,0.7318883945220687,1.366328537909132,74.0,82.0,103.0,106.0
crv,9,0,101.16822429906541,146.9053738317757,0.6886625156062377,1.4520900692840648,100.0,104.0,138.0,146.0
crv,6,0,145.59714795008912,206.8752228163993,0.7037921021566989,1.4208741429970617,144.0,150.0,197.0,204.0
crv,3,0,260.5105263157895,352.82105263157894,0.7383644608866878,1.354344707760066,257.0,263.0,349.0,356.0
crv,15,30,69.43666666666667,116.21,0.5975102544244615,1.6736114444817818,69.0,71.0,124.0,126.0
crv,12,30,82.83666666666667,146.63666666666666,0.5649110045236526,1.770190334392982,78.0,85.0,143.0,152.0
crv,9,30,101.80049261083744,186.807881773399,0.5449475238647751,1.8350390747864798,100.0,104.0,183.0,191.0
crv,6,30,135.51383399209487,268.82608695652175,0.5040948054048491,1.9837538282047542,133.0,136.0,255.0,259.0
crv,3,30,206.29637096774192,377.81048387096774,0.5460313563934811,1.8313966556883596,193.0,205.0,374.0,391.0
crv,15,60,67.86769230769231,154.11384615384614,0.4403737496755646,2.270798385999909,67.0,68.0,159.0,166.0
crv,12,60,80.3731884057971,184.93478260869566,0.43460287606285014,2.3009511788306365,76.0,79.0,174.0,180.0
crv,9,60,98.43051948051948,217.93766233766235,0.45164529354277405,2.214126913967925,96.0,100.0,218.0,238.0
crv,6,60,159.26896551724138,359.1333333333333,0.44348143359172465,2.254885828931035,138.0,142.0,320.0,328.0
crv,3,60,230.64,486.40615384615387,0.47417163244392146,2.1089410069639,232.0,239.0,500.0,512.0
