vehicle,dist,angle,mean height,mean width,height to width ratio,width to height ratio,q1-1.5*iqr height,q3+1.5*iqr height,q1-1.5*iqr width,q3+1.5*iqr width
sedan,15,0,54.37294685990338,86.00772946859904,0.6321867487474443,1.5818110739924658,54.0,55.0,84.0,88.0
sedan,12,0,69.32007575757575,105.45643939393939,0.6573337404141448,1.521297232316057,68.0,71.0,99.0,102.0
sedan,9,0,87.56854838709677,122.24395161290323,0.7163425857206471,1.3959801077496894,90.0,93.0,124.0,130.0
sedan,6,0,128.92146892655367,183.34463276836158,0.703164673980032,1.4221419775538913,127.0,130.0,181.0,186.0
sedan,3,0,209.66922683051715,299.4147465437788,0.7002635282690075,1.4280338181711618,216.0,220.0,309.0,315.0
sedan,15,30,57.30338164251208,122.69855072463768,0.4670257415763074,2.1412095971943548,57.0,59.0,124.0,129.0
sedan,12,30,68.41176470588235,150.7825311942959,0.45371147548735646,2.204043878162537,68.0,69.0,139.0,143.0
sedan,9,30,83.20190274841438,167.51479915433404,0.49668389401081603,2.01335298377568,82.0,84.0,168.0,171.0
sedan,6,30,114.01015965166908,230.81640058055152,0.4939430619527455,2.0245248430995635,114.0,115.0,224.0,229.0
sedan,3,30,170.53636363636363,320.00444444444446,0.5329187347145431,1.8764587072279382,167.0,170.0,319.0,322.0
sedan,15,60,53.8000852514919,160.00852514919012,0.33623261761415096,2.9741314423800658,53.0,54.0,161.0,161.0
sedan,12,60,64.63584637268848,194.70128022759602,0.33197442922374426,3.0122801998283415,65.0,68.0,198.0,204.0
sedan,9,60,86.33487511563368,210.00740055504164,0.4111039653243355,2.4324747128407336,86.0,87.0,213.0,218.0
sedan,6,60,105.0795559666975,282.43015726179465,0.3720550134782366,2.687774559604194,107.0,109.0,289.0,295.0
sedan,3,60,188.67882392548535,462.54752553024355,0.4079122976805302,2.451507360004092,186.0,192.0,464.0,474.0
