vehicle,dist,angle,mean height,mean width,height to width ratio,width to height ratio,q1-1.5*iqr height,q3+1.5*iqr height,q1-1.5*iqr width,q3+1.5*iqr width
van,15,0,67.25369458128078,99.33990147783251,0.6770058514331052,1.4770921076725876,66.0,69.0,89.0,93.0
van,12,0,76.89162561576354,101.77586206896552,0.7554996248880713,1.3236273944519188,76.0,80.0,102.0,105.0
van,9,0,98.51693404634581,151.07130124777183,0.6521220988542908,1.533455163928494,98.0,101.0,142.0,151.0
van,6,0,130.30752688172043,175.93978494623656,0.740637070356427,1.350188965722113,136.0,139.0,178.0,187.0
van,3,0,266.67329047340735,393.8947983635301,0.6770165322855862,1.4770688045445979,201.0,278.0,389.0,400.0
van,15,30,67.84210526315789,146.5,0.463086042751931,2.1594259115593486,66.0,70.0,132.0,180.0
van,12,30,86.43993993993993,148.94144144144144,0.5803619134028932,1.7230627594712433,86.0,89.0,153.0,164.0
van,9,30,99.07399577167018,194.89323467230443,0.5083501022406153,1.967148222440357,97.0,101.0,169.0,193.0
van,6,30,133.9746835443038,246.52784810126582,0.5434464486513964,1.840107709750567,132.0,136.0,249.0,255.0
van,3,30,214.93984962406014,399.04323308270676,0.5386380016109962,1.8565344387308917,194.0,251.0,364.0,397.0
van,15,60,69.45967741935483,177.94354838709677,0.39034670292318147,2.5618251480320446,69.0,72.0,177.0,183.0
van,12,60,75.96669750231267,202.12303422756708,0.37584384082015604,2.6606794934242575,73.0,77.0,206.0,212.0
van,9,60,94.76521739130435,255.46376811594203,0.3709536506495717,2.695754572704472,95.0,101.0,247.0,271.0
van,6,60,142.1681749622926,310.9841628959276,0.4571556751906684,2.1874386653581945,141.0,146.0,315.0,321.0
van,3,60,237.51904761904763,514.6952380952381,0.46147512166238,2.16696405300828,250.0,260.0,539.0,562.0
